,latitude,longitude,city_name
866,10.6772378,76.71633589999999,"Chittur-Thathamangalam, Kerala, India"
867,22.0494116,80.7160777,"Malanjkhand, Madhya Pradesh, India"
868,23.5664503,76.472256,"Sarangpur, Madhya Pradesh 465697, India"
869,24.6850005,83.0683519,"Robertsganj, Uttar Pradesh 231216, India"
870,11.2390878,79.7361217,"Sirkali, Tamil Nadu, India"
871,23.8286354,71.6139348,"Radhanpur, Gujarat 385340, India"
872,8.4946141,78.1218531,"Thiruchendur, Tamil Nadu, India"
873,27.3175183,82.4183927,"Utraula, Uttar Pradesh 271604, India"
874,23.6329221,85.30328109999999,"Patratu, Jharkhand, India"
875,25.9267581,74.65063219999999,"Bijainagar, Rajasthan 305624, India"
876,11.3640592,77.6937629,"Periya Semur, Tamil Nadu 638004, India"
877,19.26324,76.4302771,"Pathri, Maharashtra 431506, India"
878,27.439091,78.03380779999999,"Sadabad, Uttar Pradesh 281306, India"
879,16.4939567,76.3289941,"Talikoti Rural, Karnataka 586214, India"
880,19.8479813,73.9889645,"Sinnar, Maharashtra, India"
881,22.0685419,81.68568080000001,"Mungeli, Chhattisgarh 495334, India"
882,17.1783909,77.2872658,"Sedam, Karnataka 585222, India"
883,14.2673037,75.3557927,"Shikaripur, Karnataka 577427, India"
884,25.1526446,73.0822804,"Sumerpur, Rajasthan, India"
885,9.357978,77.91557949999999,"Sattur, Tamil Nadu 626203, India"
886,26.7584464,84.7420032,"Sugauli, Bihar, India"
887,25.7516266,93.172876,"Lumding, Assam 782447, India"
888,12.5028829,79.60248000000001,"Vandavasi, Tamil Nadu 604408, India"
889,20.28709,83.14660769999999,"Titilagarh, Odisha 767033, India"
890,16.6973432,74.27351589999999,"Uchgaon, Kolhapur, Maharashtra, India"
891,26.3220358,94.5134629,"Mokokchung, Nagaland, India"
892,24.6007362,88.0460894,"Paschim Punropara, West Bengal, India"
893,23.665708,74.0241367,"Sagwara, Rajasthan, India"
894,24.6495542,75.94342089999999,"Ramganj Mandi, Rajasthan, India"
895,22.8786554,88.01429399999999,"Tarkeshwar, West Bengal, India"
896,16.3896542,75.11075269999999,"Mahalingapur, Karnataka 587312, India"
897,24.3783242,92.1548473,"Dharmanagar, Tripura, India"
898,22.8255649,72.7570789,"Mahemdavad, Gujarat, India"
899,23.2133889,82.1936679,"Manendragarh, Chhattisgarh 497442, India"
900,18.8772346,72.9283391,"Uran, Navi Mumbai, Maharashtra, India"
901,11.6940008,77.97100979999999,"Tharamangalam, Tamil Nadu 636502, India"
902,11.9687124,79.2086621,"Thirukoilure, Tamil Nadu 605757, India"
903,18.7357931,73.0946926,"Pen, Maharashtra 402107, India"
904,25.0655674,84.97395209999999,"Makhdumpur, Bihar, India"
905,25.6404664,84.8965441,"Maner, Bihar 801108, India"
906,10.4897472,77.7543611,"Oddanchatram, Tamil Nadu 624619, India"
907,10.9955767,77.2852097,"Palladam, Tamil Nadu, India"
908,22.0771811,76.4794435,"Mundi, Madhya Pradesh, India"
909,19.2281434,82.54698979999999,"Nowrangpur, Odisha 764059, India"
910,16.336974,74.9661368,"Mudalagi, Karnataka 591312, India"
911,29.2405272,77.0117647,"Samalkha, Haryana 132101, India"
912,21.4532252,76.4215988,"Nepanagar, Madhya Pradesh 450221, India"
913,18.9102069,73.3282612,"Karjat, Maharashtra 410201, India"
914,21.6833775,69.7435857,"Ranavav, Gujarat 360550, India"
915,16.2579279,81.1444264,"Pedana, Andhra Pradesh, India"
916,30.799264,76.9149134,"Pinjore, Haryana, India"
917,25.6649505,76.18127199999999,"Lakheri, Rajasthan, India"
918,23.1597254,81.956891,"Pasan, Madhya Pradesh 484336, India"
919,13.4381376,79.5521971,"Puttur, Andhra Pradesh 517583, India"
920,8.3966911,77.6065361,"Vadakkuvalliyur, Tamil Nadu, India"
921,12.6082849,80.0646682,"Tirukazhukundram, Tamil Nadu, India"
922,23.4857264,75.6544875,"Mahidpur, Madhya Pradesh 456443, India"
923,30.4597892,78.0643723,"Mussoorie, Uttarakhand, India"
924,9.9894229,76.57897489999999,"Muvattupuzha, Kerala, India"
925,25.8591065,83.85546699999999,"Rasra, Uttar Pradesh, India"
926,27.7303717,75.4752537,"Udaipurwati, Rajasthan 333307, India"
927,19.3060901,76.49679189999999,"Manwath, Maharashtra 431505, India"
928,9.1529667,76.7356123,"Adoor, Kerala, India"
929,9.8086064,77.328135,"Uthamapalayam, Tamil Nadu, India"
930,19.5857562,76.213349,"Partur, Maharashtra 431501, India"
931,30.5599327,77.29548299999999,"Nahan, Himachal Pradesh 173001, India"
932,29.9931752,77.0474325,"Ladwa, Haryana 136132, India"
